baseline,name,genesis_composite,final_composite,net_improvement,accepted,total,p50_ms,p99_ms,final_state_root
A,empty,0,0.25882352941176473,0.25882352941176473,11,60,0.032925,140.86272,0x689288f235004dcb4219c066823588bdd7b7bb9ef508e32e59afda71f223eb79
B,dense-key,0,0.2423076923076923,0.2423076923076923,20,60,140.300749,219.251268,0xcb5b5bc04e8a62f1901e09c32e5a8046e6ccd892e41d98ed745c08dc189ec8d7
C,binary-key,0,0.2423076923076923,0.2423076923076923,20,60,137.422666,147.946573,0xeb2cf8f2b851ee12a97a195ce1ad72e076156fb58e5bf65931ae571f36bd8078
D,late-interaction,0,0.06923076923076923,0.06923076923076923,5,60,137.890512,182.949613,0x0f5d201740d7621389a363801995981cd0351fe1bb383a610c2fa1bf83d18932
E,revocation-aware,0,0.11779904306220096,0.11779904306220096,11,60,0.036851,143.723421,0x4254c290d996d4f42ffe9c9a28ad92ec85f2a62029770f21158f1f6708eee840
