baseline,name,genesis_composite,final_composite,net_improvement,accepted,total,p50_ms,p99_ms,final_state_root
A,empty,0,0.25882352941176473,0.25882352941176473,11,60,0.031384,142.363523,0xc5ea19d40fdd6d2241c9b10c5ef7a170d3e3ed213e78189c6db2b77f7509f8e7
B,dense-key,0,0.23076923076923078,0.23076923076923078,19,60,138.063057,145.355098,0x7ee4a00b73c5547f4b19e7fa476a35beccdf8a603e56b8fa733665f44b5b5ea4
C,binary-key,0,0.23076923076923078,0.23076923076923078,19,60,137.32351,175.890207,0xece040c71c611c2227d87a2cabcad611081bb4deb75d9d20bb2bbe2043e01c2d
D,late-interaction,0,0.08076923076923076,0.08076923076923076,6,60,138.821138,183.223375,0x1f8426c958be17cf9309076bbffc9290bf0e8db7b812242688f7b0b1c1ea9222
E,revocation-aware,0,0.11779904306220096,0.11779904306220096,11,60,0.030162,141.791187,0xbc7680cbabc3c6414f850b3c6d6a5ffd6ff75ee4c6b65c6a2590cddfc7120c40
