baseline,name,genesis_composite,final_composite,net_improvement,accepted,total,p50_ms,p99_ms,final_state_root
A,empty,0,0.25882352941176473,0.25882352941176473,11,30,0.034947,146.197778,0x689288f235004dcb4219c066823588bdd7b7bb9ef508e32e59afda71f223eb79
B,dense-key,0,0.20769230769230768,0.20769230769230768,17,30,139.08312,151.764406,0xeec5f46df6b06236c69a85d03bdeaac76a7ee63caa95e5dae75aa6be3e0b5b89
C,binary-key,0,0.20769230769230768,0.20769230769230768,17,30,137.714349,143.878408,0x23760a75ca66144ea06af9b9e66135ef422e6522eb634069bed5e5aad91c8340
D,late-interaction,0,0.06923076923076923,0.06923076923076923,5,30,137.974986,142.70198,0x0f5d201740d7621389a363801995981cd0351fe1bb383a610c2fa1bf83d18932
E,revocation-aware,0,0.11779904306220096,0.11779904306220096,11,30,0.034307,140.629748,0x4254c290d996d4f42ffe9c9a28ad92ec85f2a62029770f21158f1f6708eee840
