baseline,name,genesis_composite,final_composite,net_improvement,accepted,total,p50_ms,p99_ms,final_state_root
A,empty,0,0.25882352941176473,0.25882352941176473,11,60,0.035329,143.254877,0xffbba48b40b3478604f5e6b538b3388ed92371e434e9390da1eadbd8aec7351a
B,dense-key,0,0.2423076923076923,0.2423076923076923,20,60,139.390515,144.243589,0x92f6717b1582bc692da3b73b2f3ab56e88540df4c117ae6a13e2b329bc0e82fb
C,binary-key,0,0.2423076923076923,0.2423076923076923,20,60,139.347227,149.512555,0x87841225a749ea506f5f91fa703402c1c24cc833f62451ce0648d53119059254
D,late-interaction,0,0.057692307692307696,0.057692307692307696,4,60,139.917805,151.112368,0x5ba7dfb61234bdcf3cb240becdfacb25fc3e9a2aafaf500a06f7710f00bf9be6
E,revocation-aware,0,0.11789473684210525,0.11789473684210525,11,60,0.037011,145.379226,0xb75a3aeaaeff5f8154b57535b95427ce6fcaa3853e7ad97a4c4212d0120fe037
