baseline,name,genesis_composite,final_composite,net_improvement,accepted,total,p50_ms,p99_ms,final_state_root
A,empty,0,0.25882352941176473,0.25882352941176473,11,60,0.03624,145.427667,0x583256b19c0f91a3777a091098a617372e6b5400fe815edec13191364099ae51
B,dense-key,0,0.23076923076923078,0.23076923076923078,19,60,141.284232,154.007364,0x8692c5dfbd571f4acdc450b403d611d76d3f9f24f7ec34a2de15f81047d5d150
C,binary-key,0,0.23076923076923078,0.23076923076923078,19,60,139.691733,147.239159,0xe77fa7679a6c4713c2124b298770d4c439b6229a9a11c03a73657340ea3e6453
D,late-interaction,0,0.06923076923076923,0.06923076923076923,5,60,140.190703,149.831827,0x1912fdcf02a8b87d637664ff0fa290da56d1e11f28636822b774dd12761c9ffe
E,revocation-aware,0,0.11789473684210525,0.11789473684210525,11,60,0.036501,146.003917,0x0897acfaed8ecbe137470639de379ab21c883d306dab3469e7b0e60eba3692d8
